EXP,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,LWAGE,YEAR
3,32,0,0,1,0,1,0,0,9,0,556.068,1
4,43,0,0,1,0,1,0,0,9,0,572.031,2
5,40,0,0,1,0,1,0,0,9,0,599.645,3
6,39,0,0,1,0,1,0,0,9,0,599.645,4
7,42,0,1,1,0,1,0,0,9,0,606.146,5
8,35,0,1,1,0,,0,0,9,0,617.379,6
9,32,0,1,1,0,1,0,0,9,0,624.417,7
30,34,1,0,0,0,1,0,0,11,0,616.331,1
31,27,1,0,0,0,1,0,0,11,0,621.461,2
32,33,1,1,0,0,1,0,1,11,0,626.34,3
33,30,1,1,0,0,1,0,0,11,0,654.391,4
34,30,1,1,0,0,1,0,0,11,0,669.703,5
35,37,1,1,0,0,1,0,0,11,,679.122,6
36,30,1,1,0,0,1,0,0,11,0,681.564,7
6,50,1,1,0,0,1,0,1,12,0,565.249,1
,51,1,1,0,0,1,0,1,12,0,643.615,2
8,50,1,1,0,0,1,0,1,12,0,654.822,3
9,52,1,1,0,0,1,0,1,12,0,660.259,4
10,52,1,1,0,0,1,0,1,12,0,669.58,5
11,52,1,1,0,0,0,0,1,12,0,677.878,6
12,46,1,1,0,0,0,0,1,12,0,686.066,7
31,52,1,0,0,1,0,1,0,10,1,615.698,1
32,46,1,0,0,1,0,1,0,10,1,623.832,2
33,46,1,0,0,1,0,1,0,10,1,630.079,3
34,49,1,0,0,,0,1,0,10,1,635.957,4
35,44,1,0,0,1,0,1,0,10,1,646.925,5
36,52,1,0,0,1,0,1,0,10,1,656.244,6
37,46,1,0,0,1,0,1,0,10,1,662.141,7
10,50,1,0,0,0,1,0,1,16,0,643.775,1
11,,1,0,0,0,1,0,1,16,0,662.007,2
12,40,1,0,0,0,1,0,1,16,0,663.332,3
13,50,0,0,0,0,1,0,0,16,0,698.286,4
14,47,1,0,0,1,1,0,0,16,0,704.752,5
15,47,0,0,0,0,1,0,0,16,0,731.322,6
16,49,0,0,0,0,1,0,0,16,0,729.574,7
26,44,1,1,0,1,1,0,0,12,0,690.575,1
27,47,1,1,0,1,1,0,,12,0,690.575,2
28,47,1,1,0,1,1,0,0,12,0,690.776,3
29,47,1,1,0,1,1,0,0,12,0,700.307,4
30,44,1,1,0,1,1,0,0,12,0,706.902,5
31,45,1,1,0,1,1,0,0,12,0,752.023,6
32,47,1,1,0,1,1,0,0,12,0,733.889,7
15,46,1,0,0,0,1,0,1,12,0,613.34,1
16,48,1,0,0,0,1,0,1,12,0,617.379,2
17,49,1,0,0,0,1,0,1,12,0,621.261,3
18,46,1,0,0,0,1,0,1,12,0,631.355,4
19,47,1,0,0,0,1,0,1,12,0,637.502,5
20,47,1,0,0,0,1,0,1,12,,644.572,6
21,,1,0,0,0,1,0,1,12,0,652.209,7
23,51,1,1,1,0,1,0,1,10,0,633.15,1
24,50,1,1,1,0,1,0,1,10,0,640.357,2
25,50,1,1,1,0,1,0,1,10,0,654.391,3
26,50,1,1,1,0,1,0,1,10,0,656.244,4
27,44,1,1,0,1,1,0,1,10,0,659.167,5
28,51,1,1,0,1,1,0,1,10,0,681.783,6
29,51,1,1,,1,1,0,1,10,0,689.163,7
3,50,0,0,1,1,1,0,0,16,0,655.108,1
4,48,0,0,1,1,1,0,0,16,0,655.108,2
,50,0,0,1,1,1,0,0,16,0,680.239,3
6,48,0,0,1,1,1,0,0,16,0,690.776,4
7,48,0,0,1,1,1,0,0,16,0,709.008,5
8,44,0,0,1,1,1,0,0,16,0,0,6
9,48,0,0,1,1,1,0,0,16,0,720.786,7
3,49,0,0,1,1,1,0,0,16,0,639.693,1
4,47,0,0,1,1,,0,0,16,0,643.775,2
5,46,0,0,1,1,1,0,0,,0,643.775,3
6,44,0,0,1,1,1,0,0,16,0,643.775,4
7,,0,0,1,1,1,0,0,16,0,652.209,5
8,34,0,0,1,1,1,0,0,16,0,661.338,6
9,40,0,0,1,1,1,0,0,16,0,673.934,7
24,47,1,0,0,1,0,0,1,12,0,665.801,1
25,48,1,0,0,1,0,0,1,12,0,672.623,2
26,45,1,0,0,1,0,0,1,12,0,680.239,3
27,45,1,0,0,1,1,0,1,12,0,690.776,4
28,47,1,0,0,1,1,0,1,12,0,703.966,5
29,17,1,0,0,1,1,0,1,12,0,712.769,6
30,47,,0,0,1,1,0,1,12,0,724.423,7
21,47,1,0,1,1,1,0,1,12,0,655.108,1
22,46,1,0,1,1,1,0,1,12,0,0,2
23,47,1,0,1,1,1,0,1,12,0,672.263,3
24,47,1,0,1,1,1,0,1,12,0,673.34,4
25,47,1,0,1,1,1,0,1,12,0,672.263,5
26,47,1,0,1,1,1,0,1,12,0,695.177,6
27,46,1,0,1,1,1,0,1,12,0,705.272,7
26,48,1,0,1,1,1,0,0,12,0,690.575,1
27,48,1,0,1,1,1,0,0,12,0,690.073,2
28,50,1,0,1,1,1,,0,12,0,717.012,3
29,48,1,0,1,1,1,0,0,12,0,726.543,4
,48,1,0,1,1,1,0,0,12,0,725.912,5
31,46,0,0,1,1,1,0,0,12,0,725.488,6
32,46,1,0,1,1,1,0,0,12,0,740.001,7
15,45,0,0,1,1,1,0,0,17,0,680.239,1
16,45,0,0,1,1,1,0,0,17,0,680.239,2
17,45,0,0,1,1,1,0,0,17,0,692.56,3
18,44,0,0,1,1,,0,0,17,0,700.307,4
19,44,0,0,1,1,1,0,0,17,0,713.09,5
20,,0,0,1,1,1,0,0,17,,712.448,6
21,44,0,0,1,1,1,0,0,17,0,712.287,7
9,50,0,0,0,0,0,1,0,14,0,594.017,1
10,46,0,0,0,0,0,1,0,14,0,586.079,2
11,48,0,0,0,0,0,1,0,14,0,599.894,3
12,46,0,0,0,0,0,1,0,14,0,608.45,4
13,48,0,0,0,0,0,1,0,14,0,639.526,5
14,41,0,,0,0,0,1,0,14,0,647.697,6
15,48,0,0,0,0,0,1,0,14,0,647.697,7
16,50,1,0,1,1,0,1,0,12,1,597.889,1
17,50,1,0,1,1,0,1,0,12,1,578.383,2
18,48,1,0,1,1,0,1,0,12,1,585.793,3
19,48,1,0,1,1,0,1,0,12,1,595.324,4
20,50,1,0,1,1,0,,0,12,1,614.633,5
21,50,1,0,1,1,0,1,0,12,1,617.587,6
22,49,1,0,1,1,0,1,0,12,1,638.856,7
,49,0,1,0,0,1,0,0,14,0,662.007,1
17,48,0,1,0,0,1,0,0,14,0,649.224,2
18,49,0,1,0,0,1,0,0,14,0,677.992,3
19,50,0,1,0,0,1,0,0,14,0,674.524,4
20,51,0,1,0,0,1,0,0,14,0,709.008,5
21,46,0,1,0,0,1,0,0,14,0,713.09,6
22,47,0,1,0,0,1,0,0,14,0,713.09,7
25,47,0,1,1,1,1,0,0,16,0,690.575,1
26,46,0,1,1,1,1,0,0,16,0,690.575,2
27,47,0,1,1,1,1,0,0,16,0,760.09,3
28,47,0,1,1,1,1,0,0,16,0,764.969,4
29,47,0,1,1,1,1,0,0,16,0,771.869,5
30,48,0,1,1,1,1,0,0,16,0,778.322,6
31,47,0,1,1,1,1,0,0,16,0,780.384,7
40,37,1,1,0,1,1,0,1,12,0,638.688,1
41,49,1,1,0,1,1,0,1,12,0,647.389,2
42,50,1,1,0,1,1,0,1,12,0,654.247,3
43,47,1,1,0,1,1,0,1,12,0,667.582,4
44,47,1,1,0,1,1,0,1,12,0,674.17,5
45,25,1,1,0,1,1,0,1,12,0,683.195,6
46,40,1,1,0,1,1,0,1,12,0,693.634,7
25,50,0,0,0,0,1,0,0,16,0,678.333,1
26,49,0,1,0,0,1,0,0,16,0,685.751,2
27,49,0,1,0,0,1,0,0,16,0,698.472,3
28,48,0,1,0,0,1,0,0,16,0,705.79,4
29,48,0,1,0,0,1,0,0,16,0,720.564,5
30,49,0,1,0,0,1,0,0,16,0,710.988,6
31,48,0,1,0,0,1,0,0,16,0,726.683,7
28,42,1,,1,0,1,0,1,4,0,605.912,1
29,46,1,1,1,0,1,0,1,4,0,605.209,2
30,49,1,1,1,0,1,0,1,4,0,599.146,3
31,49,1,1,1,0,1,0,1,4,0,621.461,4
32,48,1,0,1,0,1,0,1,4,0,632.436,5
33,45,1,0,1,0,1,0,1,,0,644.254,6
,42,1,1,1,0,1,0,1,4,0,644.254,7
20,46,0,0,0,0,1,0,0,14,0,659.987,1
21,45,0,0,0,0,1,0,0,14,0,659.987,2
